标题,标题链接,查看数,参与数,需求价格,状态,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link,详情标题,字段1,字段1_link1,设计师类型,设计师等级,设计师信用,交易总次数,交易总金额,详情标题1,字段2,服务1,价格1,服务2,价格2,服务3,价格3,服务4,价格4,服务5,价格5,服务6,价格6,服务7,价格7,服务8,价格8,服务9,价格9,能力标签
【微信推广】微信微博代运营代维护,https://task.epwk.com/557294/,2161人,1人,1000-3000元,圆满完成,炎炎1618,微信微博代维护推送；1：两个微博，一个微博每天发布两条相关内容，一周5天，还有一个微博每天转发指定微博的内容，每天5篇；2：四个微信公众号，一个每天基本内容给好，排版审核完成即可发布；第二个是订阅号，1，3，5每天各发布一次（每次暂定发布3篇内容，可能其中一篇要自己写一下）；第三个是服务号，收集汇总一下订阅号的核心内容，统一转发，一周一次； 第四个是订阅号，每周3次，内容基本不用自己写，排班优化一下即可。目前大体这些,2017-11-27,2017.12.28,任务编号：557294,2400.0,30天,上海市-市辖区-普陀区,卓砾广告,https://shop.epwk.com/j7n38zrw95e1/,卓砾广告,出售服务,https://shop.epwk.com/j7n38zrw95e1/chushou/,企业,四品,74分,,,卓砾广告,,宣传册设计,价格面议,VI设计,"￥2000
            /套",微信微博推广,"￥1000
            /次",LOGO设计,"￥1500
            /款",,,,,,,,,,,微信推广
【网站优化方案】智能家居问答撰写及发布,https://task.epwk.com/555351/,1142人,1人,1000-3000元,圆满完成,一品通无忧,1.撰写50条问答，问答内容50条（一问一答）发布到360问答，搜狗问答，知乎问答等平台 共50条（自主选择）2.问题不要以家联宝为主体来提问 大概方向1、云可视对讲十大品牌（家联宝非十大品牌）2、什么是云可视对讲？3、云可视对讲与传统楼宇对讲的优势在哪里？4、云可视对讲有哪些先进的开门技术（家联宝新推了声波开门和人脸识别开门）,2017-11-21,2018.01.22,任务编号：555351,275.0,5天,山东省-青岛市-李沧区,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",网站优化方案
【微信推广】财经外汇投资微信公众号推广,https://task.epwk.com/554329/,2049人,5人,1000-3000元,圆满完成,USCMFX,我们的微信公众号 UsuccessCapital财经外汇投资 做外汇投资只能程序化交易的 现在的微信号 UsuccessCapital  网站是 USCMFX.com 需求 撰写文案 公众号维护，定期发布文章，软文推广，向投资类QQ群 微信 朋友圈转发，财经外汇类论坛 发帖子。我们提供素材 宣传手册 PPT资料。,2017-11-17,2018.01.08,任务编号：554329,1000.0,"30天,3天,30天,1天","山东省-青岛市-李沧区,湖南省-长沙市-岳麓区,河南省-商丘市-梁园区,四川省-成都市-青羊区",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",微信推广
【产品推广】发布文章及帖子推广,https://task.epwk.com/550000/,1936人,4人,1000-3000元,圆满完成,o59fbcefb0217d,现在有十几篇文章要发布只各大网络论坛，最主要的是百度贴吧、猫扑、天涯论坛等大型论坛，每篇文章需要发布10条左右，我方提供内容工期：1天。价格：再议。具体投标联系。,2017-11-03,2017.11.07,任务编号：550000,2300.0,"3天,7天,30天,1天","山东省-青岛市-李沧区,null-null-null,江苏省-徐州市-睢宁县,广东省-东莞市-东莞市市辖区",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",产品推广
【网店推广】拼多多新店推广,https://task.epwk.com/545403/,1956人,3人,1000元以内,圆满完成,o59e884940a339,拼多多新店推广具体联系沟通价格可议,2017-10-19,2017.10.30,任务编号：545403,760.0,"8天,3天,10天","山东省-青岛市-李沧区,安徽省-亳州市-谯城区,云南省-红河哈尼族彝族自治州-泸西县",利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",网店推广
【产品推广】在论坛中建立贴吧发问题，评论 灌水形成活贴,https://task.epwk.com/541698/,1012人,1人,1000-3000元,圆满完成,xindimusic,1   论坛中建立帖子发布问题，2 间隔一定时间段分开灌水及评论3 内容要自然，彰显真实4 不得一个时间段紧密回复5保证其成为活贴，要发布在任何人都可以看到回答的论坛，无需登陆就可看到内容6内容参照附件提供 稍加改变也可7中标后请与QQ取得联系，讨论相关事宜再开始工作。,2017-10-09,2017.10.19,任务编号：541698,1000.0,10天,山东省-青岛市-李沧区,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",产品推广
【APP推广】FXC区块链ICO/QQ群推广,https://task.epwk.com/539583/,1356人,1人,1000元以内,圆满完成,分享未来,1、含有ICO/QQ群2、300人以上，150人在线3、发布至少100个群，审核通过一个群1元具体详谈,2017-09-28,2017.10.13,任务编号：539583,100.0,3天,山东省-青岛市-李沧区,利宏营销策划,https://shop.epwk.com/81n41zq1enp6/,利宏营销策划,出售服务,https://shop.epwk.com/81n41zq1enp6/chushou/,企业,一品,178分,总 3493 次中标，交易总金额,￥1074.59万,利宏营销策划,,二维Flash飞碟说逐帧手绘AE企业产品宣传广告MG动画制作,"￥300
            /起",创业商业计划书融资策划书招商项目路演可行性研究报告代写作撰写,"￥2000
            /起",动态logo设计海报名片公司企业标志产品商标品牌VI诊断升级,"￥100
            /起",微信代运营公众号文案原创微信文章写作公众号代运营微博文案撰写,"￥1500
            /起",文案撰写微信爆款推文商业计划书路演PPT融资文案论坛文案微信文案微博文案宣传文案产品故事,"￥300
            /起",企业PPT设计公司简介项目汇报演示总结报告PPT策划招商课件,"￥50
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",公司起名取名企业产品网站店铺媒体组织品牌起名取名故事文案策划,"￥499
            /起",品牌取名起名公司宝宝取名人物取名笔名花名小名产品企业品牌取名,"￥399
            /起",APP推广
【产品推广】百度百科文案编写及词条创建,https://task.epwk.com/534690/,1821人,3人,1000-3000元,圆满完成,一品通无忧,一家专业从事智能化信息平台开发，需要百科文案撰写1篇，以及百科词汇创建2个，此外还有新闻稿撰写、分类信息撰写等需求。联系QQ：630857144,2017-09-13,2017.11.10,任务编号：534690,2000.0,"15天,9天,10天","福建省-泉州市-洛江区,安徽省-芜湖市-市辖区,广东省-广州市-天河区",飞亚传媒,https://shop.epwk.com/m7d7wwkgw5q8/,飞亚传媒,出售服务,https://shop.epwk.com/m7d7wwkgw5q8/chushou/,企业,四品,70分,,,飞亚传媒,,微信朋友圈转发微信朋友圈直发微信朋友圈转发微信真人朋友圈转发,"￥60
            /次",省级论题文章发表医学论著文章发表学术期刊杂志发表核心期刊发表,价格面议,企业品牌升级整合营销套餐企业网络营销推广门户网站新闻发布套餐,"￥1999
            /起",中小企业网络推广整合营销企业品牌产品网络营销推广整合营销套餐,"￥4500
            /起",百度百科创建修改搜狗百科创建互动百科创建360百度创建修改,"￥900
            /起",新闻稿新闻源发布新闻发布新闻稿发布新闻客户端APP新闻发布,"￥100
            /次",,,,,,,产品推广
【网站优化方案】房地产网站策划推广,https://task.epwk.com/534253/,1610人,3人,5000-10000元,圆满完成,大棚,制定公司网站模板，在地产行业平台发布加链软文，软文条数约96篇，均原创。,2017-09-12,2017.09.15,任务编号：534253,6500.0,"3天,30天,180天","广东省-深圳市-宝安区,北京市-北京市-朝阳区,安徽省-合肥市-市辖区",liszky,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【APP推广】APP运营推广,https://task.epwk.com/532593/,2151人,1人,2万-5万元,圆满完成,骇客,针对上架APP进行全面推广，各相关网站做软文嵌入、瀑布流广告。要求粉丝有显著效果,2017-09-06,2017.09.08,任务编号：532593,34680.0,3天,广东省-深圳市-福田区,o59506f696af3e,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APP推广
【活动策划】汉堡店开业活动策划,https://task.epwk.com/532402/,3798人,14人,1000元以内,圆满完成,o59a3****00501,朱先生，汉堡店开业活动策划，针对人群是学生，有大学，有高中，湖南，主要以方案为主，微信是手机号,2017-09-06,2018.01.09,任务编号：532402,600.0,"3天,3天,3天,4天,7天,5天,2天,1天,7天,3天,2天,5天","河南省-开封市-兰考县,黑龙江-齐齐哈尔市-市辖区,河北省-沧州市-黄骅市,四川省-成都市-青羊区,北京市-北京市-丰台区,四川省-成都市-成华区,福建省-泉州市-南安市,河北省-石家庄市-新华区,山东省-日照市-莒　县,广东省-深圳市-宝安区,江苏省-南京市-栖霞区,江苏省-南京市-秦淮区",殊同品牌策划设计,https://shop.epwk.com/09drjejxe53w/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【微信推广】微信活动策划方案撰写及执行,https://task.epwk.com/532143/,1489人,1人,5000-10000元,圆满完成,liszky,需要策划微信活动，节日专场及推广节奏，执行方案等，有策划过微信活动的优先考虑。,2017-09-05,2017.09.07,任务编号：532143,8500.0,3天,广东省-湛江市-吴川市,o595902bbcbcec,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信推广
【网站优化方案】旅游网站网络推广,https://task.epwk.com/532112/,2586人,6人,3000-5000元,圆满完成,骇客,旅游网站推广，针对关键词进行推广，竞价等。详情电话联系,2017-09-05,2017.09.11,任务编号：532112,4500.0,"3天,30天,15天,30天,10天","广东省-深圳市-福田区,河南省-商丘市-梁园区,安徽省-宿州市-墉桥区,上海市-市辖区-闵行区,上海市-市辖区-黄浦区",liszky,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【活动策划】“沧桑巨变 春华秋实”阿克苏市34年发展成就展活动策划,https://task.epwk.com/529503/,2436人,5人,1000-3000元,圆满完成,o596d7bd792e5c,要求具体措施：需要涉及的部门，分工、““阿克苏杰出贡献人”、 “城市巨变风云人物”如何产生，颁奖环节具体流程。详情致电阿克苏市第二届房产交易会分活动之一：“沧桑巨变 春华秋实”阿克苏市发展成就展l   活动目的：1.让广大市民看到在摄影师镜头下美丽的阿克苏，进而产生家乡荣耀感和归属感。2.让广大市民看到政府的强大行动力，为建设阿克苏付出的努力，成就了现在平安、稳定、健康发展的阿克苏市。3.寻找为了建设阿克苏而付出过伟大贡献的人，唤醒城市情结，提高城市居民凝聚力。l   阿克苏建市34周年，34年的风雨兼程，34年的奋力拼搏，绘就了阿克苏今天的华美乐章。l   展览分为忆往昔，看今朝，展未来，三个篇章，书写建市34年来阿克苏的沧桑巨变。l   具体实施：展览用大量图片、配以文字说明，并辅以声、光、电等现代技术手段，在展会现场设置“34周年成就展展馆”，系统记录阿克苏建市34年来走过的光辉历程，展示了阿克苏市建市34年来经济发展、城乡建设、生态文明、改革创新、民生保障、英雄事迹、党的建设等方面取得的突出业绩，以及城市发展的美好前景。l   将照片分成三个分主题：忆往昔，看今朝，展未来。l   忆往昔：搜集老照片、邀请老干部、老红军参加开幕式。l   看今朝：征集阿克苏美照，记录的阿克苏改变，推选为阿克苏经济、社会发展做出推动的“城市巨变风云人物”。l   展未来：举办融通发展·房地产行业峰会。预算：1500左右,2017-08-27,2017.09.12,任务编号：529503,1500.0,"3天,4天,4天,2天,3天","辽宁省-沈阳市-市辖区,江苏省-南京市-建邺区,山东省-青岛市-市北区,福建省-泉州市-南安市,北京市-北京市-朝阳区",紫彧营销咨询机构,https://shop.epwk.com/p05qjj3xydev/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【微信推广】网站制作开发,https://task.epwk.com/528220/,1077人,1人,1000-3000元,圆满完成,o5927ebbb1713b,1、“首页”界面显示需要有：游戏产品/展示、注册板块、充值中心、安全中心、活动中心、家长监护等等。游戏产品：比如点击打开其中任意一款游戏需要出现登陆或注册界面，不用开放实际功能。2、充值中心，需要如下图界面，不用开放实际充值功能。3、家长监护工程的所有资料必须齐全。,2017-08-22,2017.08.28,任务编号：528220,1000.0,5天,四川省-资阳市-雁江区,四川无量网络,https://shop.epwk.com/9w56emkvwdv1/,四川无量网络,出售服务,https://shop.epwk.com/9w56emkvwdv1/chushou/,企业,一品,45分,,,四川无量网络,,网站开发,价格面议,品牌企业官网开发,价格面议,网页设计,价格面议,网站推广,价格面议,,,,,,,,,,,微信推广
【产品推广】网站及app推广,https://task.epwk.com/527122/,1785人,1人,5万-10万元,圆满完成,keniat,甲方需求：1. 乙方通过自身的企业或其他渠道为甲方提供公募基金用户的注册和相关产品既定金额的购买；2. 乙方先在一品威客的平台上预付定金，由甲方完成且乙方验收后，一品威客把预付的定金转到对方的账户上。,2017-08-18,2017.08.28,任务编号：527122,50000.0,7天,北京市-北京市,o597efe45d45a3,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【口碑营销】网络口碑危机公关解决,https://task.epwk.com/526736/,1677人,2人,1000-3000元,圆满完成,M1340****051,网络口碑危机公关，清除互联网不实信息。具体的投标联系。,2017-08-17,2017.09.04,任务编号：526736,2999.0,"10天,7天","福建省-泉州市-洛江区,江苏省-苏州市-虎丘区",飞亚传媒,https://shop.epwk.com/m7d7wwkgw5q8/,飞亚传媒,出售服务,https://shop.epwk.com/m7d7wwkgw5q8/chushou/,企业,四品,70分,,,飞亚传媒,,微信朋友圈转发微信朋友圈直发微信朋友圈转发微信真人朋友圈转发,"￥60
            /次",省级论题文章发表医学论著文章发表学术期刊杂志发表核心期刊发表,价格面议,企业品牌升级整合营销套餐企业网络营销推广门户网站新闻发布套餐,"￥1999
            /起",中小企业网络推广整合营销企业品牌产品网络营销推广整合营销套餐,"￥4500
            /起",百度百科创建修改搜狗百科创建互动百科创建360百度创建修改,"￥900
            /起",新闻稿新闻源发布新闻发布新闻稿发布新闻客户端APP新闻发布,"￥100
            /次",,,,,,,口碑营销
【活动策划】撰写活动方案,https://task.epwk.com/525360/,1702人,4人,1000元以内,圆满完成,mf135****3766,要素见附件,2017-08-12,2017.08.14,任务编号：525360,500.0,"5天,2天,1天,1天","山东省-滨州市-滨城区,山东省-济南市-历城区,河北省-石家庄市-新华区,上海市-市辖区-黄浦区",一悦企划,https://shop.epwk.com/omdwk2x0xdrp/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【产品推广】母婴产品及品牌旗舰店的推广,https://task.epwk.com/523017/,1501人,5人,5000-10000元,圆满完成,o595902bbcbcec,"通过微博、微信、qq、社区等渠道对指定的母婴品牌、用品进行推广，需自行撰写文案，并提交所有文案的文字版及发布效果图。
效果好的可以长期合作。",2017-08-04,2017.08.11,任务编号：523017,8000.0,"3天,15天,30天,1天","广东省-深圳市-龙岗区,陕西省-西安市-雁塔区,山东省-济南市-槐荫区,湖北省-武汉市-洪山区",o59506f696af3e,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【网站优化方案】旅行社网站推广,https://task.epwk.com/522278/,1624人,5人,3000-5000元,圆满完成,骇客,公司项目，按月付费，负责竞价、关键词优化等，一部分作为保底，一部分作为考核，自然排名为准,2017-08-02,2017.08.04,任务编号：522278,3500.0,"3天,30天,30天,30天","广东省-深圳市-福田区,浙江省-宁波市-鄞州区,福建省-厦门市-湖里区,福建省-厦门市-思明区",o59506f696af3e,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,网站优化方案
【活动策划】楼盘预售现场活动策划,https://task.epwk.com/522274/,2260人,7人,3000-5000元,圆满完成,大棚,吸引潜客户眼球，为项目造势，为销售做铺；要将以下条件糅合：活动目标、具体活动构思、整体气氛布置、媒体配合、各岗位工作安排：相关准备清单,2017-08-02,2017.08.04,任务编号：522274,4500.0,"2天,3天,5天,7天,1天","广东省-深圳市-福田区,河北省-邯郸市-丛台区,广东省-深圳市-龙岗区,山东省-济南市-槐荫区,福建省-泉州市-南安市",liszky,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【活动策划】商场优惠促销活动现场策划设计,https://task.epwk.com/520468/,2104人,3人,5000-10000元,圆满完成,liszky,某大型商场年中促销活动策划，要求当晚举办活动，要求设计整体流程和现场布置。深圳本地，见面详聊,2017-07-26,2017.07.28,任务编号：520468,6800.0,"2天,5天,1天","广东省-深圳市-福田区,辽宁省-沈阳市-皇姑区,福建省-泉州市-南安市",o59506f696af3e,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【微信推广】房地产行业公众微信运营推广,https://task.epwk.com/516042/,2011人,4人,5000-10000元,圆满完成,骇客,通过活动或文案来做到房地产的宣传，并在中介机构内部产生影响，做到品牌宣传和公号的粉丝的增量。详聊,2017-07-10,2017.07.17,任务编号：516042,5000.0,"3天,10天,6天","广东省-深圳市-龙岗区,广东省-深圳市-宝安区,福建省-泉州市-石狮市",liszky,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信推广
【产品推广】找人做网络营销推广策划、淘宝天猫推广,https://task.epwk.com/514388/,2863人,8人,3000-5000元,圆满完成,o595902bbcbcec,按要求完成相应淘宝天猫店铺的推广，提高关注量与成交量,2017-07-03,2017.07.14,任务编号：514388,4500.0,"5天,3天,2天,60天,60天,10天,10天","广东省-深圳市-龙岗区,湖南省-长沙市-岳麓区,山东省-淄博市-张店区,山东省-济南市-市中区,江苏省-扬州市-市辖区,江苏省-苏州市-吴中区,广东省-深圳市-宝安区",liszky,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【活动策划】软件推广活动策划,https://task.epwk.com/514337/,1291人,1人,1000元以内,圆满完成,o5957a4a3f2bf8,软件推广，要做活动策划，,2017-07-03,2017.07.11,任务编号：514337,500.0,4天,云南省-昆明市-五华区,一起搞品牌策划  QQ  3370528179,https://shop.epwk.com/v0n1x6x9l57y/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【关键词优化】房地产类网站排名优化,https://task.epwk.com/514045/,1515人,4人,1万-2万元,圆满完成,大棚,主要在百度上做推广，SEO SEM 品牌曝光等，具体需求详聊。深圳区域优先。,2017-07-02,2017.07.07,任务编号：514045,10000.0,"5天,30天,30天,30天","广东省-深圳市-福田区,江苏省-无锡市-北塘区,福建省-厦门市-思明区,北京市-北京市-朝阳区",liszky,https://task.epwk.com/javascript:;,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【活动策划】校园狂欢节活动策划,https://task.epwk.com/503629/,1350人,1人,1000元以内,圆满完成,k0327****51,活动策划，校园狂欢节的活动，期末考试的题目，武女士,2017-05-22,2017.05.24,任务编号：503629,200.0,5天,北京市-北京市-东城区,笔尖上的工作室,https://shop.epwk.com/78n96z0oznkv/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,活动策划
【关键词优化】百度“相关搜索”发布关键词，200元≥个,https://task.epwk.com/499622/,1831人,4人,3000-5000元,圆满完成,rongsenm,百度“相关搜索”发布关键词，200元≥个一、百度PC+移动，搜索“人物名称”，在“相关搜索”（位置在搜索结果的页尾、下方）中发布关键词。二、移动端有8个位置、PC端有9个，共17个。三、关键词无敏感违法，是人物名称，无百度热度，无指数，无权重。三、发布上去后维护期≥1个月四、服务费200元≥个，约3400元电话/微信是手机号，李先生,2017-05-09,2017.07.17,任务编号：499622,3400.0,"30天,30天,3天,30天","广东省-深圳市,吉林省-长春市-朝阳区,湖南省-长沙市-岳麓区,福建省-厦门市-思明区",华鼎网络科技,https://shop.epwk.com/2j5jj3o495pz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,关键词优化
【活动策划】活动策划撰写,https://task.epwk.com/499314/,1378人,1人,1000元以内,圆满完成,mf503392,活动策划，小活动的，主要是展示正能量的，让员工有积极向上的一颗心，今天希望能出基础稿。,2017-05-08,2017.05.11,任务编号：499314,200.0,1天,福建省-南平市-延平区,余味六两,https://shop.epwk.com/78n96z0l8nkv/,余味六两,出售服务,https://shop.epwk.com/78n96z0l8nkv/chushou/,个人,九品,38分,,,余味六两,,活动方案制作收费标准,"￥600
            /件",,,,,,,,,,,,,,,,,活动策划
【微信推广】推广微信公众号,https://task.epwk.com/488012/,1100人,1人,1000元以内,圆满完成,qq515****53,主要目的就是帮我们推广公众号，要大量客户关注即可。客户对象为财经投资圈方面。,2017-03-30,2017.03.30,任务编号：488012,100.0,1天,湖北省-武汉市-汉阳区,创客通网络技术,https://shop.epwk.com/4rn8qz4wwngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,微信推广
【产品推广】做营销型落地页,https://task.epwk.com/487624/,1037人,1人,1000元以内,圆满完成,国泰石业,做营销型落地页，具体详细沟通，报价联系,2017-03-29,2017.04.05,任务编号：487624,300.0,3天,湖北省-武汉市-汉阳区,创客通网络技术,https://shop.epwk.com/4rn8qz4wwngm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【产品推广】装修论坛发帖推广,https://task.epwk.com/483563/,939人,1人,1000元以内,圆满完成,o58c8aa6bb1893,需要在装修、家居论坛发帖推广，只针对深圳地区的论坛，请深圳服务商联系具体沟通，非深圳服务商请勿扰，谢谢！,2017-03-15,2017.03.23,任务编号：483563,900.0,3天,湖南省-长沙市-芙蓉区,道乐推广旗舰店,https://shop.epwk.com/78dljy6395lx/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,产品推广
【网站优化方案】化妆产品一条龙营销推广,https://task.epwk.com/477474/,1185人,1人,2万-5万元,圆满完成,寻求网络推广,化妆产品一条龙营销推广，需要通过百度百科，微博，微信，百度文库，搜狗问答，QQ，知名媒体各种渠道为化妆品推广,2017-02-21,2017.02.27,任务编号：477474,23000.0,3天,北京市-北京市-东城区,至诚网络工作室,https://shop.epwk.com/09drjjqel53w/,至诚网络工作室,出售服务,https://shop.epwk.com/09drjjqel53w/chushou/,工作室,二品,36分,,,至诚网络工作室,,,,,,,,,,,,,,,,,,,,网站优化方案
【活动策划】学校亲子互动活动策划,https://task.epwk.com/477382/,2664人,10人,1000元以内,圆满完成,o58abfcab4c23c,学校亲子互动活动策划 预算00-200  想找学生或者个人工作室,2017-02-21,2017.02.22,任务编号：477382,188.0,"1天,2天,5天,15天,3天,2天,3天,3天,2天","河北省-石家庄市-新华区,海外-加拿大,上海市-市辖区-杨浦区,天津市-市辖区-和平区,四川省-乐山市-市中区,福建省-南平市-延平区,北京市-北京市-东城区,浙江省-舟山市-定海区,河北省-唐山市-路北区",mijunjie8的商铺,https://shop.epwk.com/7g5ykjm2gn0q/,mijunjie8的商铺,出售服务,https://shop.epwk.com/7g5ykjm2gn0q/chushou/,个人,四品,32分,,,mijunjie8的商铺,,,,,,,,,,,,,,,,,,,,活动策划
【关键词优化】网站百度排名SEO优化,https://task.epwk.com/472695/,2684人,1人,5000-10000元,圆满完成,Mr132****2646,网站关键词：万家乐国际或相关长尾关键词，需要做到百度首页前三，价格还可以谈，但是你必须要有实力！,2017-02-01,2017.04.13,任务编号：472695,5000.0,90天,四川省-成都市-青羊区,成都噢猫头鹰科技有限公司,https://shop.epwk.com/j7n3886go5e1/,成都噢猫头鹰科技有限公司,出售服务,https://shop.epwk.com/j7n3886go5e1/chushou/,企业,六品,39分,,,成都噢猫头鹰科技有限公司,,网页设计,"￥1500
            /件",LOGO设计,"￥500
            /件",网站优化,"￥300
            /年",网站建设,"￥4999
            /件",,,,,,,,,,,关键词优化
