标题,标题链接,查看数,参与数,需求价格,状态,任务类型,需求方,需求文本,发布时间,完成时间,任务编号,交易价格,工作周期,设计师地点,设计师,字段1_link
【效果图设计】旅拍门店平面装修图和效果图设计,https://task.epwk.com/799918/,1930人,7人,¥2000,圆满完成,雇佣,o5d988d8d0bf00,我想请人帮忙设计一下我们公司的旅拍门店，要求下图风格的平面装修图和效果图，以及一个大门的效果图，预计出图时间5天以内。,2019.10.06,2019.11.07,任务编号：799918,"￥2000,￥2000,￥2000","7天,4天,8天","重庆市-重庆市-渝北区,广东省-深圳市,广西壮族自治区-贺州市-八步区",绘梦笔文化创意,https://shop.epwk.com/81n41o67onp6/
【软装设计】公司形象墙设计,https://task.epwk.com/793291/,764人,1人,¥1200,圆满完成,雇佣,vitorru,公司形象墙设计  已谈好勿扰,2019.09.12,2019.09.12,任务编号：793291,￥1200,2天,福建省-厦门市,众智创想,https://shop.epwk.com/j7n38xzo25e1/
【施工图设计】别墅施工图制作,https://task.epwk.com/792012/,1352人,1人,¥2600,圆满完成,雇佣,o5d689b83db270,别墅施工图，针对已有的平面图和效果图，制作全部别墅的施工图包含电气排水等等分两次付款以及庭院的全部平面设计和效果图,2019.09.08,2019.10.06,任务编号：792012,￥2600,15天,湖北省-武汉市-新洲区,凰辰设计工作室,https://shop.epwk.com/3gd2mo9ygner/
【店铺厂房】手机店面装修效果图设计,https://task.epwk.com/789552/,1810人,3人,¥500,圆满完成,雇佣,易成微服,位于卖场里面的20多平方手机店面效果图； 要求2张图即可，时间五天。费用500元，能做的就联系，想要加价的勿扰。,2019.09.01,2019.09.20,任务编号：789552,"￥500,￥500,￥500","5天,3天,5天","上海市-市辖区,广东省-深圳市,广西壮族自治区-贺州市-八步区",上海暔尚广告设计公司,https://shop.epwk.com/z2nkzz1k4nqy/
【施工图设计】小别墅建筑设计图制作,https://task.epwk.com/788861/,1496人,3人,¥1000,圆满完成,雇佣,o5d689b83db270,我想找一家设计公司帮我设计一个占地100平左右的两层小别墅，外观无太多要求简单时尚即可，要求南北朝向，多窗，4室两厅3卫1浴1露台，一楼要有贯穿式的客厅餐厅和厨房一个老人房一个储物间和一个封闭式阳台，南向大窗户设计，有个大浴室能放开浴盆那种的，还要有个封闭式阳台，因为有狗所以需要有个封闭式阳台放狗最好是只和我们的生活空间只有一层门的距离，阳台对外开放大于对内开放。二楼设计主卧次卧和书房以及一个大露台，主卧设计的长一些有卫生间内部并且要有衣帽间的位置，书房也设计的大一些做多功能厅使用，次卧可以设计的常规一些，但是要考虑孩子的需求设计，最后要一个大露台这个露台可以不是那么大但是最起码也要20平左右，卫生间一楼一个公共干湿分离二楼一个主卧使用和一个公共卫生间,2019.08.30,2019.09.08,任务编号：788861,"￥1000,￥1000","26天,3天","湖北省-武汉市-新洲区,广东省-深圳市-市辖区",凰辰设计工作室,https://shop.epwk.com/3gd2mo9ygner/
【效果图设计】提供SKP文件，制作效果图,https://task.epwk.com/779148/,1179人,2人,¥150,圆满完成,雇佣,wangjia0468,按照附件中效果图例子制作，联系我发送SKP 文件。,2019.08.04,2019.08.10,任务编号：779148,￥150,2天,河南省-郑州市,盘根设计,https://shop.epwk.com/2j5xo81wk5xm/
【效果图设计】室内设计图和施工图制作,https://task.epwk.com/778952/,1591人,3人,¥500,圆满完成,雇佣,k7378****03,我要请人做室内设计图和施工图工期：尽快预算：500,2019.08.03,2019.08.20,任务编号：778952,"￥500,￥500","7天,3天","安徽省-合肥市-包河区,广东省-深圳市",爱岩文化传媒,https://shop.epwk.com/09drjv4e653w/
,,,,,,,,,,,,,,,,
【商业空间】商场内零售亭装修设计,https://task.epwk.com/778867/,1390人,1人,¥600,圆满完成,雇佣,o5cb7f56204f9f,商场内零售亭装修设计1、商场内零售店，需配合周边环境，并整合店铺自我风格设计。2、共两个铺位需要设计，两个铺位设计风格一致，占地分别是6平方和4平方，确定一个铺位风格后可略作修改后套用在另一个铺位上。3、有装修成本要求，需考虑选材。4、两个铺位分别制作施工图和效果图。,2019.08.03,2019.09.02,任务编号：778867,￥600,7天,上海市-市辖区,上海暔尚广告设计公司,https://shop.epwk.com/z2nkzz1k4nqy/
【效果图设计】奶茶店装修设计图纸制作,https://task.epwk.com/776998/,902人,1人,¥500,圆满完成,雇佣,xujun16998,奶茶店装修设计图纸制作奶茶店已运营，可以根据实体制作图纸，具体以实际沟通为准工期：再议预算：500,2019.07.29,2019.07.31,任务编号：776998,￥500,5天,安徽省-淮南市-田家庵区,爱岩文化传媒,https://shop.epwk.com/09drjv4e653w/
【效果图设计】设计几张小型展览馆的的效果图,https://task.epwk.com/776158/,1274人,4人,¥500,圆满完成,雇佣,o5d2e77761ad32,盐仓城历史文化馆设计构思一、概述盐业是历朝历代财政收入的命脉。 在历史的长河中，盐不仅影响了中华民族的命运，也数度改变了中国历史的进程。毛泽东说：“宁失延安、不丢盐湾！”，不得不说，在我国古代王朝更迭中，盐，扮演着重要的角色！《中国古今地名大辞典》“赣榆”条解释：“赣榆县，汉置，三国时废，故城在今江苏省赣榆县北，一名盐仓城。”为汉代赣榆县城遗址，因曾为盐官驻地而得名。自汉代置县以来，盐仓城作为黄海岸边的一座小城，山、海、平原，各占其一；渔、农、工、商混杂一起，从未极其富裕，也从未极其贫苦，祥和安逸是她的标志。自西汉至清中期，盐仓城始终为统治阶层提供了大量的盐赋税收，即便太平天国起义军都想占据这座小城，目标直指渔盐。追忆昔时，赣榆盐仓城经济繁荣、南北商贾络绎不绝，僧侣士农摩肩接踵。城内大小盐库百十余处，食盐转运全国各地。以光绪年间为例:当时每年的食盐销售量约24亿斤，每斤食盐零售价格约50文（1200文兑换1两白银），价值约1亿两白银。1亿两白银中约2000万两为生产成本，上交国家的税收为1430万两，车马运费约1360万两，净得毛利约5210万两，去销售费用480万两，净利润4730万两，而当时整个国家的年财政收入也不过只有1亿两白银，足以看出盐业收入占据财政半壁江山。1860年（清咸丰），太平天国鲁王与清军在盐仓城激战，昔日繁荣的盐仓古城彻底毁于战火，目前仅剩断垣一处，列为江苏省文物保护单位。二、建馆铭记1.建设地点：连云港市赣榆区胡村小学校内两口教室2.场馆面积：120㎡3.预算投入：10万元三、设计思路：利用相连的两口教室（中间打通小门），进行内外装饰，使之成为一个小型的文化馆。四、主题词：序言、渔盐文化、煮海、商业繁荣、出土文物、润泽如盐、实物展示五、工程内容：1.室内外粉刷2.室内吊顶3.地面铺设木地板4.文物陈列柜（盐仓城出土文物复制品、珍贵历史文化物品、盐业生产物品）5.墙壁展牌声光电6.实物展区（古代制盐工具、农耕用具、汉代地图、文献资料）以上为设计效果图参考资料，总之一个目的，就是利用这有限的120㎡的地方如何设计出一个小型的文化陈列馆效果图，使人能够直观看到室内外的样式。可以仿照任何博物馆效果图，图中呈现出的各类展区、标牌、实物越细致越好。（从不同视角3张以上）工期：因时间着急，要求三天内设计好,2019.07.26,2019.07.31,任务编号：776158,"￥400,￥400,￥400,￥400","3天,3天,2天,10天","重庆市-重庆市-渝北区,广西-贺州市-八步区,福建省-厦门市,安徽省-淮南市-田家庵区",绘梦笔文化创意,https://shop.epwk.com/81n41o67onp6/
【其他家装服务】玄关墙设计,https://task.epwk.com/773369/,2707人,1人,¥100,圆满完成,雇佣,yan24****638,我想找人设计一下玄关墙。新房进门一面墙，想好好设计一下，原有设计是简欧风格，这个画感觉不好看，想换一个。预算只100元左右。,2019.07.19,2019.08.06,任务编号：773369,￥100,1天,安徽省-合肥市-瑶海区,爱岩文化传媒,https://shop.epwk.com/09drjv4e653w/
【施工图设计】21.76平方商铺图及效果图设计,https://task.epwk.com/772084/,1515人,2人,¥500,圆满完成,雇佣,凌晨凌晨凌晨,需正规商城能过审设计图一套外加一张效果图工期：尽快，比较着急,2019.07.16,2019.07.24,任务编号：772084,"￥500,￥500","5天,3天","上海市-市辖区,广东省-深圳市",上海暔尚广告设计公司,https://shop.epwk.com/z2nkzz1k4nqy/
【效果图设计】极简新中纺织业公司（SU已建模）效果图制作,https://task.epwk.com/771611/,1182人,2人,¥1000,圆满完成,雇佣,o5d2bd62e66e43,现代极简新中纺织业公司大厅+董办公室（SU已建模）做3D效果图工期：7月22日之前完成,2019.07.15,2019.07.29,任务编号：771611,"￥1000,￥1000","7天,7天","上海市-市辖区,安徽省-合肥市",上海暔尚广告设计公司,https://shop.epwk.com/z2nkzz1k4nqy/
【效果图设计】店铺效果图设计,https://task.epwk.com/766045/,991人,3人,¥200,圆满完成,雇佣,o5cecd57d2b6e3,商场里的店铺效果图，具体详聊工期：3天,2019.07.01,2019.07.15,任务编号：766045,￥200,3天,福建省-福州市-闽侯县,青椒三维设计（福建）,https://shop.epwk.com/rp5z49w97dx3/
【效果图设计】温泉会所游泳池户外设计效果图,https://task.epwk.com/761584/,1903人,5人,¥200,圆满完成,雇佣,有家,实拍图为现场效果图，参考图作为设计与PS的套膜。本场地共3000平方米左右，现先放3张实拍图选取设计效果，如果PS或设计方案符合，我再放多张实拍图与建筑图。要求：把参考图的设计效果PS或套进实拍图当中，以白色调为主，遮阳伞、遮阳挡板、凳子、桌椅、那些以热带风茅草为主。（先要求把实拍图设计为效果图，一共修改4张图，实拍图上的黑色外墙是会所的外墙，亦属设计范围）参考图只是我公司喜欢的网红温泉会所类型，如有个人或公司有好的个人设计与方案，可直接合作。因上存图片数量、大小有限，几张参考图合成了一张，实拍图进行压缩过。如有需要详细的实拍图可联系我方获取。（参考图可以自行上网参考）,2019.06.19,2019.07.05,任务编号：761584,"￥200,￥200","7天,5天","广东省-广州市-海珠区,广西壮族自治区-贺州市-八步区",塬境设计,https://shop.epwk.com/81n41o1mlnp6/
【效果图设计】设计大楼外观,https://task.epwk.com/759985/,2247人,19人,¥800,圆满完成,雇佣,o5d044c76d2c4b,设计大楼外观，要求仿军队部队培训大楼,2019.06.15,2020.03.18,任务编号：759985,"￥800,￥800,￥800,￥800,￥800,￥800,￥800,￥800,￥800,￥800,￥800,￥800","3天,6天,7天,3天,5天,5天,3天,15天,3天,3天,6天,5天","湖南省-长沙市,湖南省-长沙市-岳麓区,辽宁省-沈阳市-东陵区,广东省-广州市-海珠区,湖南省-长沙市,湖北省-武汉市-汉阳区,广东省-广州市-海珠区,山东省-日照市-东港区,广西-桂林市,江苏省-淮安市-淮阴区,四川省-成都市,广东省-广州市-花都区",红石建筑设计工作室,https://shop.epwk.com/78n96ywkxnkv/
【效果图设计】70平方米时尚快餐店装修设计效果图,https://task.epwk.com/758519/,2239人,22人,¥500,圆满完成,雇佣,sunpc,位置在一小区临街商铺。门面6米宽，深11米，楼底高6米。主营：健康时尚快餐；新鲜食材，即点即蒸，以蒸为主要烹调方式。要求：简约时尚，有自己鲜明的特色风格。在最省装修成本的情况下突显自己的风格。店铺里面需要设计有卫生间，开放式厨房，厨房约占面积20个平方。微信联系，不方便电话,2019.06.11,2019.08.19,任务编号：758519,"￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500","5天,7天,7天,5天,7天,4天,1000天,3天,5天,5天,7天","福建省-厦门市-思明区,云南省-昆明市-西山区,重庆市-市辖区-万盛区,湖北省-武汉市-东西湖区,广东省-佛山市-南海区,湖北省-武汉市-洪山区,广东省-东莞市-东莞市,江西省-赣州市-章贡区,山东省-济南市-市辖区,上海市-市辖区-虹口区,甘肃省-兰州市-七里河区",米乐品牌设计,https://shop.epwk.com/78dljeype5lx/
【店铺厂房】义乌国际商贸城店面装修,https://task.epwk.com/756812/,2196人,7人,¥500,圆满完成,雇佣,howdyfire,"义乌国际商贸城2区店面。店面尺寸4.3米，深度3米，高度2.8米。公司名字江山市帝亿消防器材有限公司，英文JIANGSHAN DIYI FIRE EQUIPMENT CO.,LTD公司牌子HOWDY，。主营灭火器，所以进门右手边这面墙基本布局不变，还是灭火器这样子摆，主要是剩余左手边还有桌子的摆放需要设计。另外打印机和饮水机必须要有。原来的样子参考“义乌购”网站，手写输入13866即可。可360度查看原来装修，密码是080512.。中间的原来黑色那块板位置计划放一个电视播放宣传片。其他没特殊要求.",2019.06.06,2019.06.29,任务编号：756812,"￥500,￥500,￥500,￥500,￥500,￥500,￥500","7天,3天,2天,5天,3天,2天,3天","上海市-市辖区-杨浦区,湖北省-武汉市-洪山区,山东省-临沂市-罗庄区,广东省-清远市-清城区,广东省-深圳市-南山区,江苏省-无锡市-锡山区,广西壮族自治区-贺州市-八步区",上海暔尚广告设计公司,https://shop.epwk.com/z2nkzz1k4nqy/
【效果图设计】鸟瞰效果图设计,https://task.epwk.com/756795/,1619人,9人,¥300,圆满完成,雇佣,,,,,,,,,,
【效果图设计】厂房的3D效果图设计,https://task.epwk.com/756782/,1090人,1人,¥500,圆满完成,雇佣,o5cf477f39acf1,具体尺寸及参考类型的图片。 两个一样的厂房 一条9米的路 前面有个老楼房、通道从楼房中间出来 有个小办公楼 空地一块 老房子一处具体详谈,2019.06.06,2019.06.14,任务编号：756782,￥500,2天,安徽省-合肥市-瑶海区,爱岩文化传媒,https://shop.epwk.com/09drjv4e653w/
【效果图设计】建筑实训画图,https://task.epwk.com/755662/,1240人,2人,¥100,圆满完成,雇佣,风生水起发大财,建筑实训作业帮忙画图，四张图，要求十天之内画完。wx：，可联系详谈,2019.06.04,2019.06.05,任务编号：755662,￥100,2天,河北省-保定市-曲阳县,一人行工作室,https://shop.epwk.com/2j5xo83wx5xm/
【橱柜定制】新中式门型实物打样,https://task.epwk.com/753540/,1884人,1人,¥1160,圆满完成,雇佣,房通,根据我司提供的图片，进行新中式门型打样生产，需现场沟通，优先广州市白云区商家。,2019.05.29,2019.06.03,任务编号：753540,￥1160,5天,广东省-广州市,o5c9af08196d9c,https://task.epwk.com/javascript:;
【效果图设计】交通立交互通鸟瞰图一张,https://task.epwk.com/752751/,1015人,2人,¥600,圆满完成,雇佣,武汉尚艺映画,交通立交互通鸟瞰图，目前只是CAD图，需要做出三维交通立交互通鸟瞰图一张。工期2-3天完成。例图附上。具体详谈,2019.05.27,2019.06.23,任务编号：752751,"￥600,￥600","2天,3天","四川省-巴中市,广东省-深圳市",思阳品牌策划,https://shop.epwk.com/zqdpleewpn1v/
【效果图设计】老房改造效果图设计,https://task.epwk.com/752699/,1242人,22人,¥400,圆满完成,雇佣,理理发就是吴彦祖,老房改造，需要设计风格。现状如前面四图，只需要设计客厅。入户门对面窗户1.1米宽2米。喜欢的风格在图五。,2019.05.27,2019.06.01,任务编号：752699,"￥400,￥400,￥400,￥400,￥400,￥400,￥400,￥400,￥400,￥400","3天,3天,3天,3天,2天,2天,3天,3天,3天,2天","安徽省-合肥市-瑶海区,广东省-广州市,重庆市-重庆市-永川区,江苏省-苏州市-金阊区,四川省-成都市-市辖区,贵州省-贵阳市-云岩区,河南省-郑州市-管城回族区,吉林省-长春市-二道区,重庆市-重庆市-沙坪坝区,山东省-临沂市-罗庄区",爱岩文化传媒,https://shop.epwk.com/09drjv4e653w/
【效果图设计】8平米门店简单效果图制作,https://task.epwk.com/752297/,1738人,8人,¥200,圆满完成,雇佣,o5cb7f56204f9f,4米宽2米深迷你门店，根据提供的具体风格绘制效果图。尺寸及布置按照要求大致布置即可，无需精确。最终提供正面及侧面两张效果图。,2019.05.27,2019.06.03,任务编号：752297,"￥200,￥200,￥200,￥200,￥200,￥200,￥200","3天,7天,2天,3天,3天,3天,2天","安徽省-合肥市-瑶海区,上海市-市辖区-黄浦区,四川省-成都市,河南省-南阳市-镇平县,广东省-深圳市,广西壮族自治区-贺州市-八步区,湖北省-武汉市-洪山区",爱岩文化传媒,https://shop.epwk.com/09drjv4e653w/
【效果图设计】室内楼梯效果图制作,https://task.epwk.com/750551/,2446人,28人,¥500,圆满完成,雇佣,毅小七七,要给一个室内装修里已经设计好的楼梯，画效果图,2019.05.22,2019.05.28,任务编号：750551,"￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500","2天,2天,3天,2天,2天,1天,400天,7天,1天,3天,3天,2天","山东省-日照市,重庆市-重庆市-沙坪坝区,江苏省-常州市-武进区,山西省-临汾市-尧都区,河北省-保定市,湖北省-武汉市-青山区,福建省-福州市-福清市,江苏省-盐城市-射阳县,辽宁省-大连市-普兰店市,四川省-成都市,广东省-佛山市-禅城区,湖北省-武汉市",颐品建筑表现工作室,https://shop.epwk.com/0jnek3orrnv3/
【其他建筑设计】农村宅基地住宅设计,https://task.epwk.com/748530/,1784人,3人,¥300,圆满完成,雇佣,o5cdec2778ff2b,农村宅基地住宅设计，只需要平面布置图（一楼和二楼），平面尺寸如下。原则：房间尽量多一楼需要设置：客厅、厨房餐厅、房间、卫生间厨房和餐厅布置在右侧，厨房面积要大，需要布置土灶台二楼只要布置房间每层楼可以设置两个卫生间，其中一个在主卧,2019.05.18,2019.05.20,任务编号：748530,"￥300,￥300,￥300","1天,3天,2天","山东省-日照市-莒县,山东省-日照市-东港区,广东省-广州市-花都区",颐品建筑表现工作室,https://shop.epwk.com/0jnek3orrnv3/
【效果图设计】三张CAD图制作，要求不高,https://task.epwk.com/747035/,2217人,1人,¥200,圆满完成,雇佣,cjwdxxg,工艺流程图车间平面图全厂平面图具体详谈,2019.05.14,2019.05.15,任务编号：747035,￥150,3天,广西壮族自治区-贺州市-八步区,威创设计工作室,https://shop.epwk.com/7g5ykxvx2n0q/
【酒店宾馆】酒店门廊设计,https://task.epwk.com/746728/,2637人,6人,¥500,圆满完成,雇佣,佳食怿餐,自由设计，美观大方，，图片是现在的门廊图片。该酒店位于四川，双流国际机场附近，感谢，需要更多门廊数据的请微信联系我，谢谢酒店招牌不做变更。主要涉及门廊顶部效果及两端立面（地面及店招均不做更改）尺寸为 长14.5米  宽为 6米  高为0.5米,2019.05.14,2019.06.02,任务编号：746728,"￥500,￥500,￥500,￥500,￥500,￥500","4天,2天,10天,2天,4天,5天","重庆市-市辖区-万盛区,云南省-昆明市-西山区,广东省-广州市-荔湾区,云南省-昭通市-威信县,四川省-南充市-高坪区,广东省-广州市-市辖区",o5cdcc0750b1d5,https://task.epwk.com/javascript:;
【效果图设计】室内设计加施工图设计,https://task.epwk.com/744479/,2414人,41人,¥1000,圆满完成,雇佣,o5bf2abf1eef00,室内设计加施工图，已有确定风格,2019.05.08,2019.05.21,任务编号：744479,"￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000","5天,3天,3天,5天,5天,5天,7天,7天,4天,7天,3天","重庆市-市辖区,云南省-昭通市-威信县,广东省-深圳市,上海市-上海市-闵行区,江西省-抚州市-崇仁县,江苏省-苏州市-吴中区,浙江省-金华市-磐安县,江苏省-盐城市-射阳县,广西壮族自治区-南宁市-西乡塘区,湖北省-武汉市-市辖区,江苏省-宿迁市",行知高端室内外装修设计工作室,https://shop.epwk.com/7g5yk1lozn0q/
【效果图设计】家装装修设计,https://task.epwk.com/742418/,2383人,42人,¥1000,圆满完成,雇佣,o5bf2abf1eef00,家装装修设计面积：130平左右工期：再议,2019.05.04,2019.05.12,任务编号：742418,"￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000","3天,5天,5天,4天,3天,5天,2天,7天,3天,4天,7天,5天","湖南省-长沙市-岳麓区,河南省-南阳市-镇平县,广东省-深圳市-宝安区,广东省-深圳市-龙岗区,江苏省-盐城市-东台市,广东省-广州市-番禺区,广东省-广州市,浙江省-金华市-磐安县,海南省-儋州市-儋州市,云南省-昆明市-官渡区,湖北省-武汉市-洪山区,浙江省-宁波市-海曙区",设计忠忠,https://task.epwk.com/javascript:;
【效果图设计】办公室平面布局设计,https://task.epwk.com/741646/,1453人,28人,¥500,圆满完成,雇佣,o5cc813fd590e7,办公室平面布局图设计公司为环保科技有限公司，主要做技术咨询服务，人员约20人，办公室建筑面积550平方米，可以预留一半作为其他用途。主要布置总经理室、财务室、部门主任室2间、洽谈室、资料室（也可以其它区域放置）、员工办公（10-16人）、茶水间提交作品时需把设计说明附上。图纸备注：本办公室在四楼，总高为5楼，基础图纸为上北下南，西南角为卫生间、东南角有飘窗要求提供效果图和开关插座布置图微信联系，不要电话,2019.04.30,2019.05.16,任务编号：741646,"￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500","3天,7天,5天,4天,2天,2天,2天,5天,2天,3天,2天,7天","湖南省-长沙市-岳麓区,浙江省-温州市-苍南县,湖北省-武汉市-新洲区,云南省-昆明市-官渡区,北京市-北京市-东城区,广东省-深圳市-龙岗区,广东省-深圳市,广东省-广州市,北京市-北京市-房山区,广东省-深圳市-市辖区,河北省-秦皇岛市-北戴河区,广东省-广州市-海珠区",设计忠忠,https://task.epwk.com/javascript:;
【效果图设计】手机连锁店装修效果图设计,https://task.epwk.com/741119/,2189人,26人,¥800,圆满完成,雇佣,Mr150****3443,手机连锁店装修效果图，面积在20-50平方，要求内部与外部的所有装修设计，3天左右,2019.04.29,2019.05.29,任务编号：741119,"￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500,￥500","5天,3天,3天,3天,3天,2天,7天,5天,2天,3天,500天","广西壮族自治区-贺州市-八步区,河北省-石家庄市-市辖区,北京市-北京市,广东省-深圳市,江苏省-淮安市-清浦区,山东省-临沂市-平邑县,广东省-广州市-海珠区,江苏省-盐城市-射阳县,黑龙江-哈尔滨市-市辖区,江西省-赣州市,湖北省-武汉市-洪山区",威创设计工作室,https://shop.epwk.com/7g5ykxvx2n0q/
【效果图设计】售楼处效果图施工图设计,https://task.epwk.com/738397/,1717人,18人,¥2000,圆满完成,雇佣,o5bcb1c90b05bc,一个两层楼的售楼处效果图施工图工期：尽快,2019.04.23,2019.05.14,任务编号：738397,"￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000","5天,5天,7天,3天,5天,7天,5天,5天,7天,5天,7天","广西壮族自治区-贺州市-八步区,天津市-市辖区-和平区,天津市-市辖区-河西区,江苏省-南京市-市辖区,湖北省-宜昌市-西陵区,四川省-成都市,广东省-深圳市-龙岗区,江苏省-无锡市,江苏省-连云港市,上海市-市辖区-徐汇区,贵州省-贵阳市-乌当区",威创设计工作室,https://shop.epwk.com/7g5ykxvx2n0q/
【效果图设计】党史室效果图设计,https://task.epwk.com/737097/,2547人,20人,¥1700,圆满完成,雇佣,o5cb893f189405,三个6X3米+6X6米  要求立体感，有新意具体需求详谈,2019.04.19,2019.08.29,任务编号：737097,"￥1700,￥1700,￥1700,￥1700,￥1700,￥1700,￥1700,￥1700,￥1700,￥1700,￥1700","5天,3天,1000天,5天,3天,10天,3天,3天,3天,2天,5天","广西壮族自治区-贺州市-八步区,山东省-青岛市-市北区,浙江省-杭州市-江干区,河南省-商丘市-梁园区,湖南省-长沙市-岳麓区,四川省-自贡市-富顺县,江苏省-南京市-市辖区,四川省-绵阳市-游仙区,天津市-市辖区-河西区,江苏省-宿迁市,贵州省-贵阳市-云岩区",威创设计工作室,https://shop.epwk.com/7g5ykxvx2n0q/
【效果图设计】商城休息区效果图设计,https://task.epwk.com/733335/,465人,1人,¥100,圆满完成,雇佣,o5bf40095b2cf1,商场的拦河边上需要做一个休息区 ， 有照片可以PS上去，急急急急急明天就要。,2019.04.11,2019.04.11,任务编号：733335,￥100,2天,广西-南宁市,世羡工作室,https://shop.epwk.com/78dljep4p5lx/
【新房装修】卧室改装设计,https://task.epwk.com/728253/,4477人,13人,¥100,圆满完成,雇佣,o5c9dd3c82a357,出租房卧室改装风格：简约风  男士居住具体投标联系,2019.03.29,2019.04.02,任务编号：728253,"￥100,￥100,￥100,￥100,￥100,￥100,￥100,￥100,￥100,￥100,￥100,￥100","2天,3天,6天,2天,2天,2天,1天,300天,2天,1天,2天,2天","安徽省-淮南市,广东省-深圳市,天津市-市辖区-津南区,江苏省-连云港市,湖南省-长沙市-岳麓区,江苏省-宿迁市,广东省-惠州市-惠阳区,江西省-赣州市,江苏省-泰州市-海陵区,广东省-广州市-海珠区,陕西省-西安市-新城区,重庆市-重庆市-江北区",爱岩文化传媒,https://shop.epwk.com/09drjv4e653w/
,,,,,,,,,,,,,,,,
【施工图设计】根据平面图出施工图,https://task.epwk.com/727794/,2118人,7人,¥1000,圆满完成,雇佣,易品堂品牌设计,具体要求电话联系！！！,2019.03.28,2019.04.15,任务编号：727794,"￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000","3天,7天,5天,10天,3天,7天,7天","上海市-市辖区,河南省-郑州市-市辖区,江苏省-连云港市,山东省-日照市-东港区,广东省-深圳市-南山区,江苏省-常州市-钟楼区,江苏省-盐城市-射阳县",上海暔尚广告设计公司,https://shop.epwk.com/z2nkzz1k4nqy/
【效果图设计】学校标准装修效果图设计,https://task.epwk.com/727027/,2155人,9人,¥2300,圆满完成,雇佣,o5bcc8e629b7ac,我们学校名字叫：山姆宝贝少儿英语。目标客户是3-12岁小朋友。现在征集学校标准装修效果图10张。分别是门头2张、前台及家长等候区域2张、洽谈室1张、饮水区1张、走廊1张、教室不同角度各1张、教师办公室1张。学校面积按照500平米预估。（每张效果图都需要附上附件中的logo）,2019.03.27,2019.05.26,任务编号：727027,"￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000,￥1000","5天,6天,10天,2天,14天,5天,10天,3天,4天","广西壮族自治区-贺州市-八步区,湖南省-长沙市-岳麓区,江苏省-盐城市-射阳县,上海市-市辖区,广东省-佛山市-禅城区,江苏省-宿迁市,广东省-深圳市-龙岗区,广东省-深圳市,上海市-上海市-松江区",威创设计工作室,https://shop.epwk.com/7g5ykxvx2n0q/
【效果图设计】出报建图和效果图设计,https://task.epwk.com/725847/,1903人,11人,¥3500,圆满完成,雇佣,leoleoliao,我有个商铺需要装修，需要出报建图和效果图，5天左右，已有平面图。,2019.03.24,2019.04.01,任务编号：725847,"￥3500,￥3500,￥3500,￥3500,￥3500,￥3500,￥3500,￥3500,￥3500,￥3500","5天,3天,1000天,5天,5天,6天,5天,5天,5天,5天","广西壮族自治区-贺州市-八步区,江西省-赣州市,四川省-巴中市-巴州区,浙江省-金华市-磐安县,广东省-广州市,广东省-深圳市-宝安区,广东省-广州市-市辖区,广东省-深圳市,上海市-市辖区-黄浦区,湖北省-武汉市-江岸区",威创设计工作室,https://shop.epwk.com/7g5ykxvx2n0q/
【店铺厂房】店面设计，一楼图书文具，二楼托管培训，约500平,https://task.epwk.com/715034/,2196人,12人,¥1500,圆满完成,雇佣,烟台朗奇文化,要求有相关设计经验,2019.02.27,2019.05.14,任务编号：715034,"￥1500,￥1500,￥1500,￥1500,￥1500,￥1500,￥1500,￥1500,￥1500,￥1500,￥1500,￥1500","12天,8天,4天,7天,5天,7天,4天,15天,5天,5天,7天,7天","浙江省-金华市-磐安县,广东省-深圳市-龙岗区,广东省-深圳市,河北省-石家庄市,贵州省-贵阳市-云岩区,江苏省-连云港市-新浦区,湖北省-武汉市-洪山区,河南省-郑州市-惠济区,湖北省-荆州市-松滋市,广东省-广州市-海珠区,广东省-广州市-海珠区,浙江省-湖州市-吴兴区",室外桃园创意空间,https://shop.epwk.com/zqdple3rgn1v/
